group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day04_part2,Parse_string_dynamically,,,,21859732.0,ns,1
day04_part2,Parse_string_dynamically,,,,32797952.0,ns,2
day04_part2,Parse_string_dynamically,,,,52032473.0,ns,3
day04_part2,Parse_string_dynamically,,,,78226602.0,ns,4
day04_part2,Parse_string_dynamically,,,,124317976.0,ns,5
day04_part2,Parse_string_dynamically,,,,102603290.0,ns,6
day04_part2,Parse_string_dynamically,,,,130604192.0,ns,7
day04_part2,Parse_string_dynamically,,,,131179592.0,ns,8
day04_part2,Parse_string_dynamically,,,,146367755.0,ns,9
day04_part2,Parse_string_dynamically,,,,173110309.0,ns,10
day04_part2,Parse_string_dynamically,,,,195878865.0,ns,11
day04_part2,Parse_string_dynamically,,,,195887428.0,ns,12
day04_part2,Parse_string_dynamically,,,,214594446.0,ns,13
day04_part2,Parse_string_dynamically,,,,227570593.0,ns,14
day04_part2,Parse_string_dynamically,,,,242385773.0,ns,15
day04_part2,Parse_string_dynamically,,,,300624064.0,ns,16
day04_part2,Parse_string_dynamically,,,,287065257.0,ns,17
day04_part2,Parse_string_dynamically,,,,306803648.0,ns,18
day04_part2,Parse_string_dynamically,,,,316283665.0,ns,19
day04_part2,Parse_string_dynamically,,,,335182931.0,ns,20
day04_part2,Parse_string_dynamically,,,,369741807.0,ns,21
day04_part2,Parse_string_dynamically,,,,364783571.0,ns,22
day04_part2,Parse_string_dynamically,,,,385837338.0,ns,23
day04_part2,Parse_string_dynamically,,,,391847471.0,ns,24
day04_part2,Parse_string_dynamically,,,,414420290.0,ns,25
day04_part2,Parse_string_dynamically,,,,424027089.0,ns,26
day04_part2,Parse_string_dynamically,,,,456434932.0,ns,27
day04_part2,Parse_string_dynamically,,,,462043165.0,ns,28
day04_part2,Parse_string_dynamically,,,,487792014.0,ns,29
day04_part2,Parse_string_dynamically,,,,506241898.0,ns,30
day04_part2,Parse_string_dynamically,,,,518357861.0,ns,31
day04_part2,Parse_string_dynamically,,,,516496262.0,ns,32
day04_part2,Parse_string_dynamically,,,,556841137.0,ns,33
day04_part2,Parse_string_dynamically,,,,553462613.0,ns,34
day04_part2,Parse_string_dynamically,,,,577926034.0,ns,35
day04_part2,Parse_string_dynamically,,,,591812982.0,ns,36
day04_part2,Parse_string_dynamically,,,,631025389.0,ns,37
day04_part2,Parse_string_dynamically,,,,636525547.0,ns,38
day04_part2,Parse_string_dynamically,,,,648771308.0,ns,39
day04_part2,Parse_string_dynamically,,,,675978467.0,ns,40
day04_part2,Parse_string_dynamically,,,,689114815.0,ns,41
day04_part2,Parse_string_dynamically,,,,715252029.0,ns,42
day04_part2,Parse_string_dynamically,,,,712003452.0,ns,43
day04_part2,Parse_string_dynamically,,,,758515881.0,ns,44
day04_part2,Parse_string_dynamically,,,,743541150.0,ns,45
day04_part2,Parse_string_dynamically,,,,853517486.0,ns,46
day04_part2,Parse_string_dynamically,,,,785471586.0,ns,47
day04_part2,Parse_string_dynamically,,,,802762034.0,ns,48
day04_part2,Parse_string_dynamically,,,,894486978.0,ns,49
day04_part2,Parse_string_dynamically,,,,976839586.0,ns,50
day04_part2,Parse_string_dynamically,,,,851337133.0,ns,51
day04_part2,Parse_string_dynamically,,,,963522143.0,ns,52
day04_part2,Parse_string_dynamically,,,,973723848.0,ns,53
day04_part2,Parse_string_dynamically,,,,1564985599.0,ns,54
day04_part2,Parse_string_dynamically,,,,1156893611.0,ns,55
day04_part2,Parse_string_dynamically,,,,1131119265.0,ns,56
day04_part2,Parse_string_dynamically,,,,980411995.0,ns,57
day04_part2,Parse_string_dynamically,,,,975862747.0,ns,58
day04_part2,Parse_string_dynamically,,,,1406077766.0,ns,59
day04_part2,Parse_string_dynamically,,,,1076977995.0,ns,60
day04_part2,Parse_string_dynamically,,,,1075651897.0,ns,61
day04_part2,Parse_string_dynamically,,,,1306866872.0,ns,62
day04_part2,Parse_string_dynamically,,,,1073781438.0,ns,63
day04_part2,Parse_string_dynamically,,,,1044005085.0,ns,64
day04_part2,Parse_string_dynamically,,,,1065350730.0,ns,65
day04_part2,Parse_string_dynamically,,,,1073334141.0,ns,66
day04_part2,Parse_string_dynamically,,,,1439173131.0,ns,67
day04_part2,Parse_string_dynamically,,,,1238187610.0,ns,68
day04_part2,Parse_string_dynamically,,,,1160848680.0,ns,69
day04_part2,Parse_string_dynamically,,,,1159346742.0,ns,70
day04_part2,Parse_string_dynamically,,,,1455184097.0,ns,71
day04_part2,Parse_string_dynamically,,,,1184687205.0,ns,72
day04_part2,Parse_string_dynamically,,,,1246520435.0,ns,73
day04_part2,Parse_string_dynamically,,,,1203603954.0,ns,74
day04_part2,Parse_string_dynamically,,,,1222094833.0,ns,75
day04_part2,Parse_string_dynamically,,,,1228547043.0,ns,76
day04_part2,Parse_string_dynamically,,,,1258137483.0,ns,77
day04_part2,Parse_string_dynamically,,,,1272418778.0,ns,78
day04_part2,Parse_string_dynamically,,,,1277982248.0,ns,79
day04_part2,Parse_string_dynamically,,,,1311940661.0,ns,80
day04_part2,Parse_string_dynamically,,,,1323811483.0,ns,81
day04_part2,Parse_string_dynamically,,,,1330954777.0,ns,82
day04_part2,Parse_string_dynamically,,,,1425786606.0,ns,83
day04_part2,Parse_string_dynamically,,,,1371594550.0,ns,84
day04_part2,Parse_string_dynamically,,,,1382558456.0,ns,85
day04_part2,Parse_string_dynamically,,,,1407429823.0,ns,86
day04_part2,Parse_string_dynamically,,,,1432153198.0,ns,87
day04_part2,Parse_string_dynamically,,,,1615884796.0,ns,88
day04_part2,Parse_string_dynamically,,,,1468340446.0,ns,89
day04_part2,Parse_string_dynamically,,,,1457258932.0,ns,90
day04_part2,Parse_string_dynamically,,,,1478794647.0,ns,91
day04_part2,Parse_string_dynamically,,,,1491704623.0,ns,92
day04_part2,Parse_string_dynamically,,,,1529449308.0,ns,93
day04_part2,Parse_string_dynamically,,,,1518825320.0,ns,94
day04_part2,Parse_string_dynamically,,,,1563571454.0,ns,95
day04_part2,Parse_string_dynamically,,,,1564097723.0,ns,96
day04_part2,Parse_string_dynamically,,,,1573931187.0,ns,97
day04_part2,Parse_string_dynamically,,,,1642293437.0,ns,98
day04_part2,Parse_string_dynamically,,,,1608301310.0,ns,99
day04_part2,Parse_string_dynamically,,,,1664217356.0,ns,100
